NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
1,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.6272045,1171.18000769264,300
2,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.546274,1088.89011977951,300
3,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.5620116,1133.01869152915,300
4,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.6249923,1170.25811143507,300
5,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,5.9952109,1179.94979104265,300
6,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.4524997,1132.72656669706,300
7,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.4392485,1104.66897510048,300
8,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.6074725,1096.2516879499,300
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.2665893,1132.97374899199,300
10,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.3898852,1110.97540425451,300
1,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.4763101,1171.18000769264,300
2,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.6330304,1088.89011977951,300
3,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.4489425,1133.01869152915,300
4,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.6328307,1170.25811143507,300
5,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.4532201,1179.94979104265,300
6,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.3205239,1132.72656669706,300
7,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.9862663,1104.66897510048,300
8,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.1372326,1096.2516879499,300
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.1009054,1132.97374899199,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.5379893,1110.97540425451,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.6476156,1171.18000769264,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.8311941,1088.89011977951,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.8747156,1133.01869152915,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.1996855,1170.25811143507,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.1143525,1179.94979104265,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.0342909,1132.72656669706,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,6.025914,1104.66897510048,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,5.9513627,1096.2516879499,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.7013353,1132.97374899199,300
10,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.8019012,1110.97540425451,300
1,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.3551414,680.186140637526,300
2,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.312555,660.494498888285,300
3,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,7.6355152,655.606527431972,300
4,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,8.6763611,646.439022484622,300
5,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,17.8593852,673.482695292246,300
6,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,8.9000691,659.09237891768,300
7,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,8.7747343,668.730051064431,300
8,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,8.5798711,666.621540522394,300
9,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,8.6450139,647.910705962894,300
10,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,reciprocal_exchange,8.3914468,666.301954691181,300
