NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
9,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3127204,1699.65451246146,80
10,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3049113,1699.65451246146,80
1,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.4031312,1566.56440500355,80
2,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.4049441,1566.56440500355,80
3,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.4108063,1566.56440500355,80
4,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.4123356,1566.56440500355,80
5,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.399512,1566.56440500355,80
6,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.4036594,1566.56440500355,80
7,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.427115,1566.56440500355,80
8,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.396685,1566.56440500355,80
9,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.4024436,1566.56440500355,80
10,xalt_edges,128,80,0,0.05,0.05,4,1,1,1,1,0.3981936,1566.56440500355,80
1,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0739703,0,53
2,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0759805,0,53
3,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0778354,0,53
4,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0771025,0,53
5,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0762536,0,53
6,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.082494,0,53
7,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0734605,0,53
8,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0745604,0,53
9,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0760544,0,53
10,xalt_edges,32,100,0,0.05,0.05,4,1,1,1,1,0.0746342,0,53
1,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2294767,0,83
2,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.228932,0,83
3,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2370132,0,83
4,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2265325,0,83
5,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2247399,0,83
6,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2212912,0,83
7,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2282325,0,83
8,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2296279,0,83
9,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.224073,0,83
10,xalt_edges,64,100,0,0.05,0.05,4,1,1,1,1,0.2254424,0,83
1,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3875664,1663.42879836478,100
2,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3862202,1663.42879836478,100
3,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3773273,1663.42879836478,100
4,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3879025,1663.42879836478,100
5,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3838014,1663.42879836478,100
6,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3901397,1663.42879836478,100
7,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3989525,1663.42879836478,100
8,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3787459,1663.42879836478,100
9,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3961576,1663.42879836478,100
10,xalt_edges,96,100,0,0.05,0.05,4,1,1,1,1,0.3789773,1663.42879836478,100
1,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.5026475,1498.23208975659,100
2,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.505713,1498.23208975659,100
3,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.5084177,1498.23208975659,100
4,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.50591,1498.23208975659,100
5,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.5128634,1498.23208975659,100
6,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.4941105,1498.23208975659,100
7,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.507038,1498.23208975659,100
8,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.4950747,1498.23208975659,100
9,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.506637,1498.23208975659,100
10,xalt_edges,128,100,0,0.05,0.05,4,1,1,1,1,0.4976611,1498.23208975659,100
1,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0490078,2375.73286156817,30
2,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0487719,2375.73286156817,30
3,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0456714,2375.73286156817,30
4,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.045493,2375.73286156817,30
