NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
6,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.1111585,810.221395113061,300
7,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.2328532,856.384168367941,300
8,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.0573949,783.563933536358,300
9,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.2635753,811.148607173011,300
10,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.166525,842.230565233208,300
1,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.5775351,839.710534598145,300
2,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,5.2377093,758.346424853902,300
3,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.7067938,824.639061663472,300
4,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.459748,811.798927606754,300
5,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.4880482,816.698031801108,300
6,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.4062617,810.221395113061,300
7,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.7814147,856.384168367941,300
8,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.9293233,783.563933536358,300
9,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.5503014,811.148607173011,300
10,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.5159583,842.230565233208,300
1,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,1,inversion,4.2804007,840.682769053624,300
2,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,1,inversion,4.224484,823.225226399773,300
3,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,1,inversion,4.3141223,861.146441403232,300
4,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,1,inversion,4.2156167,801.280855382183,300
5,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,1,inversion,4.5578246,878.587803548946,300
6,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,1,inversion,4.6887449,786.750814331109,300
