	CROSSOVER	PR_CROSS	MutationMethode	PR_MUT	ELITIST	Average_path_length	Average_time
188	xpmx	0.65	inversion	0.7	0.1	899.2970414878789	6.72157986
189	xpmx	0.65	reciprocal_exchange	0.15	0.01	1135.702263587987	6.22032757
190	xpmx	0.65	reciprocal_exchange	0.15	0.05	1132.089310447296	5.83172088
191	xpmx	0.65	reciprocal_exchange	0.15	0.1	1126.740227166186	5.363151220000001
192	xpmx	0.65	reciprocal_exchange	0.3	0.01	1108.486123737581	6.47617462
193	xpmx	0.65	reciprocal_exchange	0.3	0.05	1085.739248050738	6.079718280000001
194	xpmx	0.65	reciprocal_exchange	0.3	0.1	1098.644249648799	5.62436733
195	xpmx	0.65	reciprocal_exchange	0.7	0.01	1220.787050516942	7.14332196
196	xpmx	0.65	reciprocal_exchange	0.7	0.05	1131.71347929801	6.749560850000002
197	xpmx	0.65	reciprocal_exchange	0.7	0.1	1115.763421615005	6.23802694
198	xpmx	0.65	scramble	0.15	0.01	1143.9272973729421	6.348919649999999
199	xpmx	0.65	scramble	0.15	0.05	1110.329936531559	5.992839429999999
200	xpmx	0.65	scramble	0.15	0.1	1138.574209597576	5.394592179999999
201	xpmx	0.65	scramble	0.3	0.01	1108.361272772982	6.80406548
202	xpmx	0.65	scramble	0.3	0.05	1103.4447013339911	6.37947774
203	xpmx	0.65	scramble	0.3	0.1	1078.370136698477	5.92321495
204	xpmx	0.65	scramble	0.7	0.01	1299.1132957558327	7.95235976
205	xpmx	0.65	scramble	0.7	0.05	1129.896333413668	7.4872755600000005
206	xpmx	0.65	scramble	0.7	0.1	1111.311752583992	6.94343913
207	xpmx	0.65	insert	0.15	0.01	1129.985875802101	6.269554309999999
208	xpmx	0.65	insert	0.15	0.05	1135.577922240875	5.950527610000001
209	xpmx	0.65	insert	0.15	0.1	1126.1484216952558	5.45334507
210	xpmx	0.65	insert	0.3	0.01	1117.60124889416	6.64879898
211	xpmx	0.65	insert	0.3	0.05	1095.555781065482	6.258000260000001
212	xpmx	0.65	insert	0.3	0.1	1077.7344793170369	5.79146158
213	xpmx	0.65	insert	0.7	0.01	1203.59425487221	7.550953670000001
214	xpmx	0.65	insert	0.7	0.05	1126.009187717636	7.099140229999999
215	xpmx	0.65	insert	0.7	0.1	1087.0090145918573	6.62482373
216	xpmx	0.65	swapping	0.15	0.01	1125.1706569283651	6.148272359999999
217	xpmx	0.65	swapping	0.15	0.05	1113.712469660827	5.69667698
218	xpmx	0.65	swapping	0.15	0.1	1123.730543677449	5.3342925800000005
219	xpmx	0.65	swapping	0.3	0.01	1105.149753366812	6.34777326
220	xpmx	0.65	swapping	0.3	0.05	1085.1390597737961	5.9983764
221	xpmx	0.65	swapping	0.3	0.1	1100.360963105847	5.55120405
222	xpmx	0.65	swapping	0.7	0.01	1223.7828363357942	6.95047635
223	xpmx	0.65	swapping	0.7	0.05	1132.335609798444	6.5422353
224	xpmx	0.65	swapping	0.7	0.1	1103.4198060367312	6.07779481
225	xpmx	0.15	inversion	0.15	0.01	963.1774499338137	6.33903885
226	xpmx	0.15	inversion	0.15	0.05	924.2841015323245	5.93651366
227	xpmx	0.15	inversion	0.15	0.1	949.2326347077848	5.490865250000001
228	xpmx	0.15	inversion	0.3	0.01	921.833411882934	6.70702221
229	xpmx	0.15	inversion	0.3	0.05	881.7726321863074	6.29585044
230	xpmx	0.15	inversion	0.3	0.1	874.8016098869239	5.814674800000001
231	xpmx	0.15	inversion	0.7	0.01	1036.2088111869666	7.70317812
232	xpmx	0.15	inversion	0.7	0.05	908.8531997946186	7.23763026
233	xpmx	0.15	inversion	0.7	0.1	899.2970414878789	6.7021209
234	xpmx	0.15	reciprocal_exchange	0.15	0.01	1135.702263587987	6.222978360000001
235	xpmx	0.15	reciprocal_exchange	0.15	0.05	1132.089310447296	5.816826069999999
236	xpmx	0.15	reciprocal_exchange	0.15	0.1	1126.740227166186	5.377405640000001
237	xpmx	0.15	reciprocal_exchange	0.3	0.01	1108.486123737581	6.48343528
238	xpmx	0.15	reciprocal_exchange	0.3	0.05	1085.739248050738	6.09674495
239	xpmx	0.15	reciprocal_exchange	0.3	0.1	1098.644249648799	5.61562139
240	xpmx	0.15	reciprocal_exchange	0.7	0.01	1220.787050516942	7.1505404
241	xpmx	0.15	reciprocal_exchange	0.7	0.05	1131.71347929801	6.74459346
242	xpmx	0.15	reciprocal_exchange	0.7	0.1	1115.763421615005	6.2399030699999996
243	xpmx	0.15	scramble	0.15	0.01	1143.9272973729421	6.3612366
244	xpmx	0.15	scramble	0.15	0.05	1110.329936531559	5.997965880000001
245	xpmx	0.15	scramble	0.15	0.1	1138.574209597576	5.4058912900000005
246	xpmx	0.15	scramble	0.3	0.01	1108.361272772982	6.81115681
247	xpmx	0.15	scramble	0.3	0.05	1103.4447013339911	6.43731545
248	xpmx	0.15	scramble	0.3	0.1	1078.370136698477	5.96987018
249	xpmx	0.15	scramble	0.7	0.01	1299.1132957558327	7.936837739999999
250	xpmx	0.15	scramble	0.7	0.05	1129.896333413668	7.477752730000001
251	xpmx	0.15	scramble	0.7	0.1	1111.311752583992	6.93154517
252	xpmx	0.15	insert	0.15	0.01	1129.985875802101	6.280714269999999
253	xpmx	0.15	insert	0.15	0.05	1135.577922240875	5.93174562
254	xpmx	0.15	insert	0.15	0.1	1126.1484216952558	5.468234219999999
255	xpmx	0.15	insert	0.3	0.01	1117.60124889416	6.650081930000001
256	xpmx	0.15	insert	0.3	0.05	1095.555781065482	6.2496155
257	xpmx	0.15	insert	0.3	0.1	1077.7344793170369	5.77941417
258	xpmx	0.15	insert	0.7	0.01	1203.59425487221	7.552099750000001
259	xpmx	0.15	insert	0.7	0.05	1126.009187717636	7.12294198
260	xpmx	0.15	insert	0.7	0.1	1087.0090145918573	6.58605991
261	xpmx	0.15	swapping	0.15	0.01	1125.1706569283651	6.155163
262	xpmx	0.15	swapping	0.15	0.05	1113.712469660827	5.6610599100000005
263	xpmx	0.15	swapping	0.15	0.1	1123.730543677449	5.3343133
264	xpmx	0.15	swapping	0.3	0.01	1105.149753366812	6.36597844
265	xpmx	0.15	swapping	0.3	0.05	1085.1390597737961	5.984642030000001
266	xpmx	0.15	swapping	0.3	0.1	1100.360963105847	5.53745191
267	xpmx	0.15	swapping	0.7	0.01	1223.7828363357942	6.974763489999999
268	xpmx	0.15	swapping	0.7	0.05	1132.335609798444	6.5349306799999995
269	xpmx	0.15	swapping	0.7	0.1	1103.4198060367312	6.08491973
270	x_orderx	0.7	inversion	0.15	0.01	963.1774499338137	6.3131334500000005
271	x_orderx	0.7	inversion	0.15	0.05	924.2841015323245	5.949715769999999
272	x_orderx	0.7	inversion	0.15	0.1	949.2326347077848	5.476268710000001
273	x_orderx	0.7	inversion	0.3	0.01	921.833411882934	6.71778552
274	x_orderx	0.7	inversion	0.3	0.05	881.7726321863074	6.29565971
275	x_orderx	0.7	inversion	0.3	0.1	874.8016098869239	5.812755050000001
276	x_orderx	0.7	inversion	0.7	0.01	1036.2088111869666	7.6914643300000005
277	x_orderx	0.7	inversion	0.7	0.05	908.8531997946186	7.238327839999999
278	x_orderx	0.7	inversion	0.7	0.1	899.2970414878789	6.69193885
279	x_orderx	0.7	reciprocal_exchange	0.15	0.01	1135.702263587987	6.21368847
280	x_orderx	0.7	reciprocal_exchange	0.15	0.05	1132.089310447296	5.8320305
281	x_orderx	0.7	reciprocal_exchange	0.15	0.1	1126.740227166186	5.38097745
282	x_orderx	0.7	reciprocal_exchange	0.3	0.01	1108.486123737581	6.47818027
283	x_orderx	0.7	reciprocal_exchange	0.3	0.05	1085.739248050738	6.08357105
284	x_orderx	0.7	reciprocal_exchange	0.3	0.1	1098.644249648799	5.608232650000001
285	x_orderx	0.7	reciprocal_exchange	0.7	0.01	1220.787050516942	7.162959809999999
286	x_orderx	0.7	reciprocal_exchange	0.7	0.05	1131.71347929801	6.71616382
287	x_orderx	0.7	reciprocal_exchange	0.7	0.1	1115.763421615005	6.234398099999999
288	x_orderx	0.7	scramble	0.15	0.01	1143.9272973729421	6.36284304
289	x_orderx	0.7	scramble	0.15	0.05	1110.329936531559	6.009276309999999
290	x_orderx	0.7	scramble	0.15	0.1	1138.574209597576	5.406376280000001
291	x_orderx	0.7	scramble	0.3	0.01	1108.361272772982	6.806253119999999
292	x_orderx	0.7	scramble	0.3	0.05	1103.4447013339911	6.38016157
293	x_orderx	0.7	scramble	0.3	0.1	1078.370136698477	5.95768918
294	x_orderx	0.7	scramble	0.7	0.01	1299.1132957558327	7.9439280199999995
295	x_orderx	0.7	scramble	0.7	0.05	1129.896333413668	7.488493269999999
296	x_orderx	0.7	scramble	0.7	0.1	1111.311752583992	6.952549710000001
297	x_orderx	0.7	insert	0.15	0.01	1129.985875802101	6.27581331
298	x_orderx	0.7	insert	0.15	0.05	1135.577922240875	5.89611716
299	x_orderx	0.7	insert	0.15	0.1	1126.1484216952558	5.436348790000001
300	x_orderx	0.7	insert	0.3	0.01	1117.60124889416	6.643456260000001
301	x_orderx	0.7	insert	0.3	0.05	1095.555781065482	6.254137760000001
302	x_orderx	0.7	insert	0.3	0.1	1077.7344793170369	5.77276034
303	x_orderx	0.7	insert	0.7	0.01	1203.59425487221	7.560904069999998
304	x_orderx	0.7	insert	0.7	0.05	1126.009187717636	7.104818369999999
305	x_orderx	0.7	insert	0.7	0.1	1087.0090145918573	6.56868503
306	x_orderx	0.7	swapping	0.15	0.01	1125.1706569283651	6.175114709999999
307	x_orderx	0.7	swapping	0.15	0.05	1113.712469660827	5.876709299999999
308	x_orderx	0.7	swapping	0.15	0.1	1123.730543677449	5.3471182
309	x_orderx	0.7	swapping	0.3	0.01	1105.149753366812	6.36701571
310	x_orderx	0.7	swapping	0.3	0.05	1085.1390597737961	5.994251419999999
311	x_orderx	0.7	swapping	0.3	0.1	1100.360963105847	5.5475541
312	x_orderx	0.7	swapping	0.7	0.01	1223.7828363357942	6.955536579999999
313	x_orderx	0.7	swapping	0.7	0.05	1132.335609798444	6.52599152
314	x_orderx	0.7	swapping	0.7	0.1	1103.4198060367312	6.07012552
315	x_orderx	0.65	inversion	0.15	0.01	963.1774499338137	6.2914338700000005
316	x_orderx	0.65	inversion	0.15	0.05	924.2841015323245	5.9659292
317	x_orderx	0.65	inversion	0.15	0.1	949.2326347077848	5.4831755399999995
318	x_orderx	0.65	inversion	0.3	0.01	921.833411882934	6.712486459999999
